id,nom,sexe,date,ville,pays,profession,categorie,liste,bloc
547d62a912bdaa5876a2b332,Ferida Laabidi,F,1968-03-24 0:00:00,El Kef,Tunisie,Avocate ,Avocat,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b333,Hedi Soula,H,1961-08-03 0:00:00,Kairouan,Tunisie,Ingénieur général au ministère de l'agriculture,Cadre supérieur dans la fonction publique,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b335,Walid Banneni,H,1956-11-11 0:00:00,,Tunisie,Fonctionnaire dans une entreprise,Fonctionnaire dans le secteur privé,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b336,Safia Khalfi,F,1967-04-20 0:00:00,,Tunisie,Enseignante du secondaire,Enseignant du secondaire,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b338,Mohamed Ali Bedoui,H,1952-10-05 0:00:00,,Tunisie,Retraité,Retraité,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b34d,Boutheina Ben Yaghlane,F,1966-04-12 0:00:00,,Tunisie,Enseignante universitaire,Enseignant universitaire,Mouvement Ennahdha,Aucun bloc
547d62a912bdaa5876a2b380,Mohamed Lazhar Akremi,H,1959-03-06 0:00:00,Gafsa,Tunisie,Avocat,Avocat,Mouvement Nidaa Tounes,Aucun bloc
547d62a912bdaa5876a2b339,Mahbouba Ben Dhifallah,F,1969-12-02 0:00:00,,Tunisie,Ingénieur principal,Cadre supérieur dans la fonction publique,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b33b,Imed Khemiri,H,1964-11-29 0:00:00,,Tunisie,Directeur administratif et financier d'une société,Cadre supérieur dans le secteur privé,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b33c,Latifa Habachi,F,1972-08-13 0:00:00,Tunis,Tunisie,Avocate,Avocat,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b33e,Abdellatif Mekki,H,1962-08-27 0:00:00,"El Ksour, le Kef",Tunisie,Médecin ,Médecin ,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b340,Hedi Ben Braham,H,1951-04-13 0:00:00,Mehdia,Tunisie,Enseignant universitaire,Enseignant universitaire,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b341,Leila Oueslati,F,1964-05-10 0:00:00,Kairouan,Tunisie,Enseignante principale du secondaire,Enseignant du secondaire,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b343,Ameur Laraiedh,H,1965-03-24 0:00:00,Medenine,Tunisie,Enseignant universitaire de sociologie,Enseignant universitaire,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b344,Basma Jebali,F,1975-12-25 0:00:00,"Houmet Essouk, Djerba",Tunisie,Membre de l'Assemblée Nationale Constituante,Non catégorisé,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b345,Ahmed Ameri,H,1952-03-15 0:00:00,"El Fjij, Kairouan",Tunisie,Retraité,Retraité,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b346,Heger Bouzemmi,F,1988-05-26 0:00:00,Kairouan,Tunisie,Etudiante,Etudiant,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b347,Lakhdhar Belhouchat,H,1964-11-01 0:00:00,Medenine,Tunisie,Maitre d'application principal,Instituteur enseignement de base,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b349,Mohamed Kamel Besbes,H,1958-02-22 0:00:00,,Tunisie,Ingénieur principal,Cadre supérieur dans la fonction publique,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b34a,Chahida Fraj,F,1960-09-01 0:00:00,,Tunisie,Ingénieur en chef,Cadre supérieur dans la fonction publique,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b34c,Mohamed Sidhom,H,1951-09-07 0:00:00,,Tunisie,Retraité,Retraité,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b34f,Meherzia Laabidi,F,1963-12-17 0:00:00,Hammamet,Tunisie,Traductrice à l'étranger,Traductrice,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b351,Maher Madhioub,H,1964-03-08 0:00:00,,Tunisie,Journaliste,Journaliste,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b353,Fathi Ayadi,H,1964-04-17 0:00:00,,Tunisie,Enseignant du secondaire,Enseignant du secondaire,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b354,Soulef Ksantini,F,1969-11-01 0:00:00,,Tunisie,Enseignante du secondaire,Enseignant du secondaire,Mouvement Ennahdha,Mouvement Ennahdha
547d62a912bdaa5876a2b355,Slim Besbes,H,1963-05-07 0:00:00,Tunis,Tunisie,Enseignant universitaire,Enseignant universitaire,Mouvement Ennahdha,Mouvement Ennahdha
